name,team,battingStyle,bowlingStyle,playingRole
Ruturaj Gaikwad,Super Kings,Right hand Bat,Right arm Offbreak,Batter
Fafdu Plessis,Super Kings,Right hand Bat,Legbreak,Middle order Batter
Robin Uthappa,Super Kings,Right hand Bat,Right arm Medium,Batter
Moeen Ali,Super Kings,Left hand Bat,Right arm Offbreak,Batting Allrounder
Shubman Gill,KKR,Right hand Bat,Right arm Offbreak,Opening Batter
Venkatesh Iyer,KKR,Left hand Bat,Right arm Medium,Allrounder
Nitish Rana,KKR,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter
Sunil Narine,KKR,Left hand Bat,Right arm Offbreak,Bowling Allrounder
Eoin Morgan,KKR,Left hand Bat,Right arm Medium,Middle order Batter
Dinesh Karthik,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Shakib Hasan,KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder
Rahul Tripathi,KKR,Right hand Bat,Right arm Medium,Top order Batter
Lockie Ferguson,KKR,Right hand Bat,Right arm Fast,Bowler
Shivam Mavi,KKR,Right hand Bat,Right arm Fast medium,Bowler
Varun Chakravarthy,KKR,Right hand Bat,Legbreak Googly,Bowler
Deepak Chahar,Super Kings,Right hand Bat,Right arm Medium,Bowler
Josh Hazlewood,Super Kings,Left hand Bat,Right arm Fast medium,Bowler
Shardul Thakur,Super Kings,Right hand Bat,Right arm Medium,Bowler
Dwayne Bravo,Super Kings,Right hand Bat,Right arm Medium,Allrounder
Ravindra Jadeja,Super Kings,Left hand Bat,Slow Left arm Orthodox,Allrounder
Prithvi Shaw,Capitals,Right hand Bat,Right arm Offbreak,Opening Batter
Shikhar Dhawan,Capitals,Left hand Bat,Right arm Offbreak,Opening Batter
Marcus Stoinis,Capitals,Right hand Bat,Right arm Medium,Batting Allrounder
Shreyas Iyer,Capitals,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter
Rishabh Pant,Capitals,Left hand Bat,Not Available,Wicketkeeper Batter
Shimron Hetmyer,Capitals,Left hand Bat,Not Available,Top order Batter
Axar Patel,Capitals,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Anrich Nortje,Capitals,Right hand Bat,Right arm Fast,Bowler
Ravichandran Ashwin,Capitals,Right hand Bat,Right arm Offbreak,Bowling Allrounder
Avesh Khan,Capitals,Right hand Bat,Right arm Fast medium,Bowler
Kagiso Rabada,Capitals,Left hand Bat,Right arm Fast,Bowler
Devdutt Padikkal,RCB,Left hand Bat,Right arm Offbreak,Top order Batter
Virat Kohli,RCB,Right hand Bat,Right arm Medium,Top order Batter
Srikar Bharat,RCB,Right hand Bat,Not Available,Wicketkeeper Batter
Glenn Maxwell,RCB,Right hand Bat,Right arm Offbreak,Batting Allrounder
